Episode: 0, Score: -74.31582330402018 
Episode: 1, Score: -378.0027315950261 
Episode: 2, Score: -172.0059332911882 
Episode: 3, Score: -219.3128226486329 
Episode: 4, Score: -148.30644467510186 
Episode: 5, Score: -11.20523607138449 
Episode: 6, Score: -519.0275824263206 
Episode: 7, Score: -312.25134283514836 
Episode: 8, Score: -290.19148888658333 
Episode: 9, Score: -139.22298007384546 
Episode: 10, Score: -124.60575273480693 
Episode: 11, Score: -138.10121650187557 
Episode: 12, Score: -445.20486379020537 
Episode: 13, Score: -100.34832125566753 
Episode: 14, Score: -139.39056626619518 
Episode: 15, Score: -531.8070786031408 
Episode: 16, Score: -259.6009363375739 
Episode: 17, Score: -147.6376314193679 
Episode: 18, Score: -205.69288874271524 
Episode: 19, Score: -293.82035297401706 
Episode: 20, Score: -232.2588711130804 
Episode: 21, Score: -196.366737118387 
Episode: 22, Score: -356.7687181095579 
Episode: 23, Score: -50.84911260970735 
Episode: 24, Score: -302.1885619927133 
Episode: 25, Score: -249.27423594347158 
Episode: 26, Score: -243.95484374144178 
Episode: 27, Score: -97.03868688351784 
Episode: 28, Score: -216.5800704472215 
Episode: 29, Score: -13.429062893246297 
Episode: 30, Score: -256.7106347384568 
Episode: 31, Score: -207.96406962705416 
Episode: 32, Score: -54.95024612397448 
Episode: 33, Score: -87.73312753730633 
Episode: 34, Score: -127.0247277552216 
Episode: 35, Score: -186.43260933770864 
Episode: 36, Score: -224.15742188652655 
Episode: 37, Score: -201.41419755194295 
Episode: 38, Score: -117.34008664060349 
Episode: 39, Score: 20.09987275183154 
Episode: 40, Score: -58.5367804172925 
Episode: 41, Score: -282.25077713677035 
Episode: 42, Score: -45.575004577958566 
Episode: 43, Score: -83.68395505284111 
Episode: 44, Score: -211.81768339799174 
Episode: 45, Score: -36.541702345456315 
Episode: 46, Score: -227.4599675125873 
Episode: 47, Score: -80.34729661818292 
Episode: 48, Score: -84.07290209920889 
Episode: 49, Score: -241.67757162056017 
Episode: 50, Score: -32.44210543517714 
