Episode: 0, Score: -124.86490889570277 
Episode: 1, Score: -338.6561846198922 
Episode: 2, Score: -133.09360338081711 
Episode: 3, Score: -209.22073956103205 
Episode: 4, Score: -508.09600820948765 
Episode: 5, Score: -524.2768519093254 
Episode: 6, Score: -779.6443293601841 
Episode: 7, Score: -263.15178910205583 
Episode: 8, Score: -206.14143959748506 
Episode: 9, Score: -203.5476539370014 
Episode: 10, Score: -173.05384753331987 
Episode: 11, Score: -167.53053764324792 
Episode: 12, Score: -176.27642754859232 
Episode: 13, Score: -160.7726776246874 
Episode: 14, Score: -177.52584205180847 
Episode: 15, Score: -170.0386121268666 
Episode: 16, Score: -172.96026382423497 
Episode: 17, Score: -165.7789283853422 
Episode: 18, Score: -180.8278581976429 
Episode: 19, Score: -171.566925847695 
Episode: 20, Score: -254.69341292717985 
Episode: 21, Score: -211.1479238833024 
Episode: 22, Score: -224.36237684062877 
Episode: 23, Score: -489.63868660722414 
